question_id,question,option,count
Q1,"Знаете ли вы, что такое вектор?",Да,18
Q1,"Знаете ли вы, что такое вектор?",Примерно,10
Q1,"Знаете ли вы, что такое вектор?",Нет,2
Q2,Где вы чаще всего встречаете слово «вектор»?,Математика,17
Q2,Где вы чаще всего встречаете слово «вектор»?,Физика,6
Q2,Где вы чаще всего встречаете слово «вектор»?,Комп. графика,3
Q2,Где вы чаще всего встречаете слово «вектор»?,Медицина,2
Q2,Где вы чаще всего встречаете слово «вектор»?,Не встречаю,2
Q3,Что обязательно должно быть у векторной величины?,Только величина,1
Q3,Что обязательно должно быть у векторной величины?,Только направление,0
Q3,Что обязательно должно быть у векторной величины?,Величина и направление,27
Q3,Что обязательно должно быть у векторной величины?,Не знаю,2
Q4,Можно ли считать скорость векторной величиной?,Да,23
Q4,Можно ли считать скорость векторной величиной?,Нет,2
Q4,Можно ли считать скорость векторной величиной?,Не уверен(а),5
Q5,Можно ли считать температуру векторной величиной?,Да,3
Q5,Можно ли считать температуру векторной величиной?,Нет,21
Q5,Можно ли считать температуру векторной величиной?,Не уверен(а),6
Q6,Что такое результирующее перемещение?,Сумма расстояний,6
Q6,Что такое результирующее перемещение?,Вектор от начала к концу,21
Q6,Что такое результирующее перемещение?,Среднее,1
Q6,Что такое результирующее перемещение?,Не знаю,2
Q7,Где векторы полезны в жизни?,Навигация,6
Q7,Где векторы полезны в жизни?,Спорт,3
Q7,Где векторы полезны в жизни?,Техника,4
Q7,Где векторы полезны в жизни?,Комп. технологии,3
Q7,Где векторы полезны в жизни?,Везде,14
Q8,Хотели бы больше примеров из жизни на уроках математики?,Да,22
Q8,Хотели бы больше примеров из жизни на уроках математики?,Нет,1
Q8,Хотели бы больше примеров из жизни на уроках математики?,Иногда,7
